,File Header,t1,t2,hash,hashed_filepath,og_filepath,intent,topic,speaker,form,intent2,overall_change,f0_slope
132,14. Sound -4431460609229892628,1.0597,1.7638,-4431460609229892628,data/raw/scaled_stimuli_hashed/-4431460609229892628.wav,data/raw/scaled_stimuli_hashed/6_question_Spanish.wav,question,Spanish,6,conventional,non-request,39.14412971967755,0.05071102829126646
133,15. Sound -4481082535425858178,0.8881,2.0331,-4481082535425858178,data/raw/scaled_stimuli_hashed/-4481082535425858178.wav,data/raw/scaled_stimuli_hashed/11_request_phone.wav,request,phone,11,non-conventional,request,-34.29080070558814,-0.20325250189563948
134,16. Sound -4520736152140337750,0.685,1.3412,-4520736152140337750,data/raw/scaled_stimuli_hashed/-4520736152140337750.wav,data/raw/scaled_stimuli_hashed/18_statement_soup.wav,statement,soup,18,non-conventional,non-request,54.50832001557475,6.258579105040112
138,20. Sound -4629552313073235943,0.7541,1.3326,-4629552313073235943,data/raw/scaled_stimuli_hashed/-4629552313073235943.wav,data/raw/scaled_stimuli_hashed/2_statement_phone.wav,statement,phone,2,non-conventional,non-request,-59.137446039538816,-1.0514562864899217
140,22. Sound -4762343365535270398,0.7809,1.2307,-4762343365535270398,data/raw/scaled_stimuli_hashed/-4762343365535270398.wav,data/raw/scaled_stimuli_hashed/24_statement_soup.wav,statement,soup,24,non-conventional,non-request,-2.4331319313192097,0.004908080929118826
141,23. Sound -4829610385687030304,0.5967,1.3099,-4829610385687030304,data/raw/scaled_stimuli_hashed/-4829610385687030304.wav,data/raw/scaled_stimuli_hashed/21_question_window.wav,question,window,21,conventional,non-request,5.102604651128672,0.7270263992150356
142,24. Sound -4864041076230612010,1.1014,2.1621,-4864041076230612010,data/raw/scaled_stimuli_hashed/-4864041076230612010.wav,data/raw/scaled_stimuli_hashed/19_question_box.wav,question,box,19,conventional,non-request,11.687411377633367,-0.2652354239634531
143,25. Sound -5065728406918242841,1.0635,1.4049,-5065728406918242841,data/raw/scaled_stimuli_hashed/-5065728406918242841.wav,data/raw/scaled_stimuli_hashed/18_request_office.wav,request,office,18,non-conventional,request,-14.123699892563195,-0.26378487969933795
144,26. Sound -5186207779612084011,0.6601,1.1095,-5186207779612084011,data/raw/scaled_stimuli_hashed/-5186207779612084011.wav,data/raw/scaled_stimuli_hashed/7_request_car.wav,request,car,7,non-conventional,request,8.355597627691381,-0.30129930971859514
146,28. Sound -5224613141652616133,0.6908,1.3782,-5224613141652616133,data/raw/scaled_stimuli_hashed/-5224613141652616133.wav,data/raw/scaled_stimuli_hashed/9_request_phone.wav,request,phone,9,non-conventional,request,-12.31971822637557,-0.6381204435717545
147,29. Sound -5244528481261223301,1.2673,1.9902,-5244528481261223301,data/raw/scaled_stimuli_hashed/-5244528481261223301.wav,data/raw/scaled_stimuli_hashed/2_request_Spanish.wav,request,Spanish,2,conventional,request,-29.961234613842123,-0.09502893864037752
148,30. Sound -5250258726771567864,1.2605,2.1531,-5250258726771567864,data/raw/scaled_stimuli_hashed/-5250258726771567864.wav,data/raw/scaled_stimuli_hashed/22_question_window.wav,question,window,22,conventional,non-request,-9.536199677170814,0.050038492211446954
149,31. Sound -5284366773325172829,0.5848,1.4057,-5284366773325172829,data/raw/scaled_stimuli_hashed/-5284366773325172829.wav,data/raw/scaled_stimuli_hashed/8_request_box.wav,request,box,8,conventional,request,9.642880074842964,-0.0625398656821392
150,32. Sound -5287918057552312091,0.8968,1.6421,-5287918057552312091,data/raw/scaled_stimuli_hashed/-5287918057552312091.wav,data/raw/scaled_stimuli_hashed/2_statement_car.wav,statement,car,2,non-conventional,non-request,-15.962339290389338,-0.3709610967405812
152,34. Sound -5517803075629452873,0.7295,1.4376,-5517803075629452873,data/raw/scaled_stimuli_hashed/-5517803075629452873.wav,data/raw/scaled_stimuli_hashed/9_statement_soup.wav,statement,soup,9,non-conventional,non-request,-9.44664435990407,0.047953985997647774
155,37. Sound -5679219946722655476,0.6037,1.476,-5679219946722655476,data/raw/scaled_stimuli_hashed/-5679219946722655476.wav,data/raw/scaled_stimuli_hashed/24_request_temp.wav,request,temp,24,conventional,request,-6.424464860595549,-0.05560504455735538
157,39. Sound -5684913248295713527,0.7198,1.6127,-5684913248295713527,data/raw/scaled_stimuli_hashed/-5684913248295713527.wav,data/raw/scaled_stimuli_hashed/25_request_temp.wav,request,temp,25,conventional,request,-4.308356153389397,0.09455503448112038
158,40. Sound -5706962795614049995,1.4414,1.9209,-5706962795614049995,data/raw/scaled_stimuli_hashed/-5706962795614049995.wav,data/raw/scaled_stimuli_hashed/21_request_office.wav,request,office,21,non-conventional,request,-0.7491225887280564,-0.21674504077494205
159,41. Sound -5735802208140689314,0.6888,1.5086,-5735802208140689314,data/raw/scaled_stimuli_hashed/-5735802208140689314.wav,data/raw/scaled_stimuli_hashed/18_request_temp.wav,request,temp,18,conventional,request,19.29583055149712,0.04507251911684111
160,42. Sound -5741720320378764395,1.1029,2.0731,-5741720320378764395,data/raw/scaled_stimuli_hashed/-5741720320378764395.wav,data/raw/scaled_stimuli_hashed/20_request_office.wav,request,office,20,non-conventional,request,33.48139916293434,-0.4283762317960671
161,43. Sound -5764250586677002556,1.3758,1.6823,-5764250586677002556,data/raw/scaled_stimuli_hashed/-5764250586677002556.wav,data/raw/scaled_stimuli_hashed/11_request_office.wav,request,office,11,non-conventional,request,-11.299894932300361,-0.6864405158075014
162,44. Sound -5796829054435080407,0.7488,1.4554,-5796829054435080407,data/raw/scaled_stimuli_hashed/-5796829054435080407.wav,data/raw/scaled_stimuli_hashed/2_question_piano.wav,question,piano,2,conventional,non-request,4.944341978277777,0.4997054523857783
163,45. Sound -5801964613125799913,0.9492,1.4778,-5801964613125799913,data/raw/scaled_stimuli_hashed/-5801964613125799913.wav,data/raw/scaled_stimuli_hashed/7_question_door.wav,question,door,7,conventional,non-request,-5.590480200089388,-0.06870728199747149
164,46. Sound -5925672995659750851,0.9932,1.6277,-5925672995659750851,data/raw/scaled_stimuli_hashed/-5925672995659750851.wav,data/raw/scaled_stimuli_hashed/17_request_Spanish.wav,request,Spanish,17,conventional,request,105.16154341184871,0.2766696468699643
165,47. Sound -5932335568458713799,0.7721,1.534,-5932335568458713799,data/raw/scaled_stimuli_hashed/-5932335568458713799.wav,data/raw/scaled_stimuli_hashed/19_request_Spanish.wav,request,Spanish,19,conventional,request,21.827305270512383,-0.029083493243833886
166,48. Sound -5984196444136470857,0.9927,1.9436,-5984196444136470857,data/raw/scaled_stimuli_hashed/-5984196444136470857.wav,data/raw/scaled_stimuli_hashed/20_request_Spanish.wav,request,Spanish,20,conventional,request,-6.167149561695737,-0.3033448948885677
167,49. Sound -5987491846888831045,1.0311,1.8839,-5987491846888831045,data/raw/scaled_stimuli_hashed/-5987491846888831045.wav,data/raw/scaled_stimuli_hashed/4_request_car.wav,request,car,4,non-conventional,request,-92.2540367309796,-0.4910604456591792
168,50. Sound -5995234528275624700,1.1436,2.2839,-5995234528275624700,data/raw/scaled_stimuli_hashed/-5995234528275624700.wav,data/raw/scaled_stimuli_hashed/2_question_Spanish.wav,question,Spanish,2,conventional,non-request,2.926849888750894,0.17400805824788082
170,52. Sound -6030993066730840526,0.5224,1.037,-6030993066730840526,data/raw/scaled_stimuli_hashed/-6030993066730840526.wav,data/raw/scaled_stimuli_hashed/7_request_piano.wav,request,piano,7,conventional,request,6.909663564889527,0.145300932730608
172,54. Sound -6093783908055604435,0.7125,1.2703,-6093783908055604435,data/raw/scaled_stimuli_hashed/-6093783908055604435.wav,data/raw/scaled_stimuli_hashed/3_request_door.wav,request,door,3,conventional,request,7.160461061046959,1.4164262614809382
174,56. Sound -6133445644031752435,0.7546,1.4854,-6133445644031752435,data/raw/scaled_stimuli_hashed/-6133445644031752435.wav,data/raw/scaled_stimuli_hashed/19_request_window.wav,request,window,19,conventional,request,13.28578428810333,0.1020960954079596
175,57. Sound -6149173231434665374,0.685,1.3652,-6149173231434665374,data/raw/scaled_stimuli_hashed/-6149173231434665374.wav,data/raw/scaled_stimuli_hashed/8_statement_back.wav,statement,back,8,non-conventional,non-request,2.283335762005578,-0.06776135142222205
176,58. Sound -6154133074491666719,0.894,1.7725,-6154133074491666719,data/raw/scaled_stimuli_hashed/-6154133074491666719.wav,data/raw/scaled_stimuli_hashed/19_question_Spanish.wav,question,Spanish,19,conventional,non-request,16.714798312477726,-0.004860451925852303
177,59. Sound -6172574522457448519,0.9628,1.4512,-6172574522457448519,data/raw/scaled_stimuli_hashed/-6172574522457448519.wav,data/raw/scaled_stimuli_hashed/25_request_Spanish.wav,request,Spanish,25,conventional,request,-13.583407825848411,-0.2712666229860196
178,60. Sound -6180559636776645150,1.0679,1.4331,-6180559636776645150,data/raw/scaled_stimuli_hashed/-6180559636776645150.wav,data/raw/scaled_stimuli_hashed/8_request_office.wav,request,office,8,non-conventional,request,1.5608948404006782,-0.06086855044059655
179,61. Sound -6223843147949802233,0.714,1.4142,-6223843147949802233,data/raw/scaled_stimuli_hashed/-6223843147949802233.wav,data/raw/scaled_stimuli_hashed/8_request_door.wav,request,door,8,conventional,request,-1.102129955496025,-0.06772795431545287
180,62. Sound -6229341985587830687,0.8417,1.6689,-6229341985587830687,data/raw/scaled_stimuli_hashed/-6229341985587830687.wav,data/raw/scaled_stimuli_hashed/9_request_window.wav,request,window,9,conventional,request,-12.01756422980769,-0.08073201139841768
181,63. Sound -6292983934939200877,0.7895,1.5686,-6292983934939200877,data/raw/scaled_stimuli_hashed/-6292983934939200877.wav,data/raw/scaled_stimuli_hashed/6_question_temp.wav,question,temp,6,conventional,non-request,-336.1307358429094,-1.0202652928800324
182,64. Sound -6297746306055060514,0.8127,1.603,-6297746306055060514,data/raw/scaled_stimuli_hashed/-6297746306055060514.wav,data/raw/scaled_stimuli_hashed/20_request_soup.wav,request,soup,20,non-conventional,request,-12.51136429014494,-1.2493479606301325
183,65. Sound -6365073314837597754,0.9927,1.9518,-6365073314837597754,data/raw/scaled_stimuli_hashed/-6365073314837597754.wav,data/raw/scaled_stimuli_hashed/20_question_Spanish.wav,question,Spanish,20,conventional,non-request,-5.8134298571335705,-0.35470489178445835
184,66. Sound -6419405643163396928,0.7198,1.4346,-6419405643163396928,data/raw/scaled_stimuli_hashed/-6419405643163396928.wav,data/raw/scaled_stimuli_hashed/4_statement_back.wav,statement,back,4,non-conventional,non-request,-74.00843541982954,-0.25410599825054303
185,67. Sound -6448752750117488609,0.7372,1.4541,-6448752750117488609,data/raw/scaled_stimuli_hashed/-6448752750117488609.wav,data/raw/scaled_stimuli_hashed/18_statement_car.wav,statement,car,18,non-conventional,non-request,-5.822782236721423,-0.36190112777424965
186,68. Sound -6482447104951742384,0.8669,1.5519,-6482447104951742384,data/raw/scaled_stimuli_hashed/-6482447104951742384.wav,data/raw/scaled_stimuli_hashed/24_request_laptop.wav,request,laptop,24,non-conventional,request,-11.15328781474821,-0.029039919282660236
187,69. Sound -6503304912271963839,0.7605,1.5156,-6503304912271963839,data/raw/scaled_stimuli_hashed/-6503304912271963839.wav,data/raw/scaled_stimuli_hashed/18_question_Spanish.wav,question,Spanish,18,conventional,non-request,19.50124903501346,-0.10790646870287467
188,70. Sound -6506197004032355533,0.8417,1.6724,-6506197004032355533,data/raw/scaled_stimuli_hashed/-6506197004032355533.wav,data/raw/scaled_stimuli_hashed/24_statement_office.wav,statement,office,24,non-conventional,non-request,-8.501021630633645,-0.12657227856807432
189,71. Sound -6512495376104043750,1.5511,2.3931,-6512495376104043750,data/raw/scaled_stimuli_hashed/-6512495376104043750.wav,data/raw/scaled_stimuli_hashed/11_question_temp.wav,question,temp,11,conventional,non-request,187.99097373749527,0.6019944658717598
190,72. Sound -6531801475464222869,1.1406,1.6082,-6531801475464222869,data/raw/scaled_stimuli_hashed/-6531801475464222869.wav,data/raw/scaled_stimuli_hashed/24_request_office.wav,request,office,24,non-conventional,request,-11.198557345691327,-0.15698630751300321
191,73. Sound -6555007476900352349,0.7763,1.8091,-6555007476900352349,data/raw/scaled_stimuli_hashed/-6555007476900352349.wav,data/raw/scaled_stimuli_hashed/9_request_temp.wav,request,temp,9,conventional,request,3.608991645459298,-0.021131134522056994
192,74. Sound -6559746386457080615,1.1946,1.6649,-6559746386457080615,data/raw/scaled_stimuli_hashed/-6559746386457080615.wav,data/raw/scaled_stimuli_hashed/1_statement_office.wav,statement,office,1,non-conventional,non-request,20.57903066160337,0.014651875390980902
193,75. Sound -6661274426490055947,0.8815,1.5425,-6661274426490055947,data/raw/scaled_stimuli_hashed/-6661274426490055947.wav,data/raw/scaled_stimuli_hashed/9_request_laptop.wav,request,laptop,9,non-conventional,request,9.022325252368802,-0.5105499157475673
194,76. Sound -6662142908036038416,0.7154,1.4237,-6662142908036038416,data/raw/scaled_stimuli_hashed/-6662142908036038416.wav,data/raw/scaled_stimuli_hashed/19_request_piano.wav,request,piano,19,conventional,request,14.028963336184688,0.007818188900825874
196,78. Sound -6702016574941945585,0.9288,1.8511,-6702016574941945585,data/raw/scaled_stimuli_hashed/-6702016574941945585.wav,data/raw/scaled_stimuli_hashed/3_statement_car.wav,statement,car,3,non-conventional,non-request,62.2296177919868,0.0009983440170878467
197,79. Sound -6719247763212479591,1.3106,1.9788,-6719247763212479591,data/raw/scaled_stimuli_hashed/-6719247763212479591.wav,data/raw/scaled_stimuli_hashed/1_statement_back.wav,statement,back,1,non-conventional,non-request,27.899769591801316,-0.20722049033197013
198,80. Sound -6722061207408303811,0.7088,1.5559,-6722061207408303811,data/raw/scaled_stimuli_hashed/-6722061207408303811.wav,data/raw/scaled_stimuli_hashed/17_request_box.wav,request,box,17,conventional,request,-306.38469851605623,-2.05166690942443
199,81. Sound -6734233438194465704,0.7721,1.5419,-6734233438194465704,data/raw/scaled_stimuli_hashed/-6734233438194465704.wav,data/raw/scaled_stimuli_hashed/8_question_window.wav,question,window,8,conventional,non-request,-1.2648906083399254,-0.04914019148306079
205,87. Sound -6978695505133384994,0.9484,1.5056,-6978695505133384994,data/raw/scaled_stimuli_hashed/-6978695505133384994.wav,data/raw/scaled_stimuli_hashed/25_statement_back.wav,statement,back,25,non-conventional,non-request,6.672314799629731,0.025293220374509963
206,88. Sound -6981075229783441563,0.8882,1.6859,-6981075229783441563,data/raw/scaled_stimuli_hashed/-6981075229783441563.wav,data/raw/scaled_stimuli_hashed/17_statement_car.wav,statement,car,17,non-conventional,non-request,-30.16155462098058,-1.81802842036221
208,90. Sound -7045065891020191531,0.4785,1.1072,-7045065891020191531,data/raw/scaled_stimuli_hashed/-7045065891020191531.wav,data/raw/scaled_stimuli_hashed/7_request_window.wav,request,window,7,conventional,request,-1.9312923179483192,-0.17118670573051845
210,92. Sound -7113020284628543858,0.7378,1.2572,-7113020284628543858,data/raw/scaled_stimuli_hashed/-7113020284628543858.wav,data/raw/scaled_stimuli_hashed/6_statement_soup.wav,statement,soup,6,non-conventional,non-request,62.229126943041976,-1.3294918335952406
212,94. Sound -7127890239342690713,1.0001,1.5231,-7127890239342690713,data/raw/scaled_stimuli_hashed/-7127890239342690713.wav,data/raw/scaled_stimuli_hashed/6_request_back.wav,request,back,6,non-conventional,request,-42.07568658113837,-0.5336366685703782
213,95. Sound -7162107898973860454,1.2402,1.6453,-7162107898973860454,data/raw/scaled_stimuli_hashed/-7162107898973860454.wav,data/raw/scaled_stimuli_hashed/5_statement_office.wav,statement,office,5,non-conventional,non-request,65.88954594867663,-0.33179220311218477
214,96. Sound -7188316766793280617,1.2481,2.3716,-7188316766793280617,data/raw/scaled_stimuli_hashed/-7188316766793280617.wav,data/raw/scaled_stimuli_hashed/11_request_laptop.wav,request,laptop,11,non-conventional,request,83.44707579202681,-0.15066577412062065
217,99. Sound -7422695990842686857,1.0695,1.4709,-7422695990842686857,data/raw/scaled_stimuli_hashed/-7422695990842686857.wav,data/raw/scaled_stimuli_hashed/8_request_back.wav,request,back,8,non-conventional,request,2.5486674878633693,-0.055927422233521616
218,99. Sound -7422695990842686857,1.0695,1.4709,-7422695990842686857,data/raw/scaled_stimuli_hashed/-7422695990842686857.wav,data/raw/scaled_stimuli_hashed/8_request_back.wav,request,back,8,non-conventional,request,2.5486674878633693,-0.055927422233521616
219,100. Sound -7469395986724157235,1.1534,1.5053,-7469395986724157235,data/raw/scaled_stimuli_hashed/-7469395986724157235.wav,data/raw/scaled_stimuli_hashed/6_statement_office.wav,statement,office,6,non-conventional,non-request,-51.22083494464161,-0.4589452467141213
224,105. Sound -7765892361926203577,1.1833,1.654,-7765892361926203577,data/raw/scaled_stimuli_hashed/-7765892361926203577.wav,data/raw/scaled_stimuli_hashed/2_statement_back.wav,statement,back,2,non-conventional,non-request,-27.05201846883068,-0.37635848919511794
226,107. Sound -7814207816629065885,0.8284,1.494,-7814207816629065885,data/raw/scaled_stimuli_hashed/-7814207816629065885.wav,data/raw/scaled_stimuli_hashed/7_question_temp.wav,question,temp,7,conventional,non-request,-4.246014480784169,-0.15283814997139702
227,108. Sound -7821227539912834341,1.4024,1.9942,-7821227539912834341,data/raw/scaled_stimuli_hashed/-7821227539912834341.wav,data/raw/scaled_stimuli_hashed/22_question_Spanish.wav,question,Spanish,22,conventional,non-request,-4.030623662287738,0.02624321698846787
228,109. Sound -7857460419878981445,0.952,1.8464,-7857460419878981445,data/raw/scaled_stimuli_hashed/-7857460419878981445.wav,data/raw/scaled_stimuli_hashed/11_request_car.wav,request,car,11,non-conventional,request,85.812945457036,-0.314565216676049
230,111. Sound -7939486769696712685,0.4801,1.113,-7939486769696712685,data/raw/scaled_stimuli_hashed/-7939486769696712685.wav,data/raw/scaled_stimuli_hashed/7_request_temp.wav,request,temp,7,conventional,request,4.5434728134910785,0.21654462832542035
232,113. Sound -8103605837169271021,0.9284,1.4028,-8103605837169271021,data/raw/scaled_stimuli_hashed/-8103605837169271021.wav,data/raw/scaled_stimuli_hashed/2_request_soup.wav,request,soup,2,non-conventional,request,-32.579304077991566,-1.6098364273657688
233,114. Sound -8167144704182827662,0.9114,1.7732,-8167144704182827662,data/raw/scaled_stimuli_hashed/-8167144704182827662.wav,data/raw/scaled_stimuli_hashed/21_request_temp.wav,request,temp,21,conventional,request,-11.792633613342815,-0.2475058350432152
234,115. Sound -8171110176249663437,0.911,1.3522,-8171110176249663437,data/raw/scaled_stimuli_hashed/-8171110176249663437.wav,data/raw/scaled_stimuli_hashed/25_statement_laptop.wav,statement,laptop,25,non-conventional,non-request,-8.22235909002842,-0.21361261745170546
235,116. Sound -8174093606199984661,0.7488,1.4977,-8174093606199984661,data/raw/scaled_stimuli_hashed/-8174093606199984661.wav,data/raw/scaled_stimuli_hashed/8_request_piano.wav,request,piano,8,conventional,request,2.7129447578415977,-0.028974739265453804
236,117. Sound -8174410029182932460,0.714,1.4142,-8174410029182932460,data/raw/scaled_stimuli_hashed/-8174410029182932460.wav,data/raw/scaled_stimuli_hashed/17_question_piano.wav,question,piano,17,conventional,non-request,-27.88232170029977,0.5675177520735196
237,118. Sound -8179304478042461766,0.8529,1.4201,-8179304478042461766,data/raw/scaled_stimuli_hashed/-8179304478042461766.wav,data/raw/scaled_stimuli_hashed/21_statement_car.wav,statement,car,21,non-conventional,non-request,4.670555259451461,-0.26648133825563175
238,119. Sound -8212822907272162973,0.5741,1.3596,-8212822907272162973,data/raw/scaled_stimuli_hashed/-8212822907272162973.wav,data/raw/scaled_stimuli_hashed/24_request_piano.wav,request,piano,24,conventional,request,-5.847069641578983,-0.1637456481780818
239,120. Sound -8224576192019397400,1.1763,1.9431,-8224576192019397400,data/raw/scaled_stimuli_hashed/-8224576192019397400.wav,data/raw/scaled_stimuli_hashed/6_request_laptop.wav,request,laptop,6,non-conventional,request,66.61443491659857,0.14620622709790332
240,121. Sound -8236406409406832571,0.7488,1.4817,-8236406409406832571,data/raw/scaled_stimuli_hashed/-8236406409406832571.wav,data/raw/scaled_stimuli_hashed/4_statement_car.wav,statement,car,4,non-conventional,non-request,-17.041364167045373,-0.22447148698462294
242,123. Sound -8325733517833121386,0.8069,1.6048,-8325733517833121386,data/raw/scaled_stimuli_hashed/-8325733517833121386.wav,data/raw/scaled_stimuli_hashed/8_request_car.wav,request,car,8,non-conventional,request,1.0929330813603855,-0.02245107613530251
243,124. Sound -8329788248129054580,0.6368,1.5365,-8329788248129054580,data/raw/scaled_stimuli_hashed/-8329788248129054580.wav,data/raw/scaled_stimuli_hashed/24_request_box.wav,request,box,24,conventional,request,-2.0948498591505995,0.01615827379090223
244,125. Sound -8361881666131301261,0.5959,1.3695,-8361881666131301261,data/raw/scaled_stimuli_hashed/-8361881666131301261.wav,data/raw/scaled_stimuli_hashed/2_question_window.wav,question,window,2,conventional,non-request,-22.776101988406566,-0.004965163658276925
245,126. Sound -8372026371581231879,1.3748,1.9571,-8372026371581231879,data/raw/scaled_stimuli_hashed/-8372026371581231879.wav,data/raw/scaled_stimuli_hashed/11_question_Spanish.wav,question,Spanish,11,conventional,non-request,136.11967239100903,0.9291481544511178
246,127. Sound -8372873421462642437,0.8158,1.4177,-8372873421462642437,data/raw/scaled_stimuli_hashed/-8372873421462642437.wav,data/raw/scaled_stimuli_hashed/3_request_Spanish.wav,request,Spanish,3,conventional,request,-43.92884054319549,-1.0130216646340604
248,129. Sound -8405833805028500446,0.6985,1.4573,-8405833805028500446,data/raw/scaled_stimuli_hashed/-8405833805028500446.wav,data/raw/scaled_stimuli_hashed/21_request_piano.wav,request,piano,21,conventional,request,-27.439261634368293,-0.4099063301683548
249,130. Sound -8424143349964519030,0.5689,1.0177,-8424143349964519030,data/raw/scaled_stimuli_hashed/-8424143349964519030.wav,data/raw/scaled_stimuli_hashed/19_request_soup.wav,request,soup,19,non-conventional,request,16.7255078069592,0.3352216475926344
250,131. Sound -8469194562444577127,0.8243,1.5137,-8469194562444577127,data/raw/scaled_stimuli_hashed/-8469194562444577127.wav,data/raw/scaled_stimuli_hashed/5_request_laptop.wav,request,laptop,5,non-conventional,request,6.5614190476479735,-0.882517758392628
251,132. Sound -8509828923194793353,0.9323,1.635,-8509828923194793353,data/raw/scaled_stimuli_hashed/-8509828923194793353.wav,data/raw/scaled_stimuli_hashed/6_request_car.wav,request,car,6,non-conventional,request,-54.510833098967765,-1.2782658547398718
252,133. Sound -8569359885955042467,0.7421,1.2685,-8569359885955042467,data/raw/scaled_stimuli_hashed/-8569359885955042467.wav,data/raw/scaled_stimuli_hashed/21_statement_soup.wav,statement,soup,21,non-conventional,non-request,5.026224259609947,-0.38291599663098674
253,134. Sound -8587455468238301104,1.4851,1.9377,-8587455468238301104,data/raw/scaled_stimuli_hashed/-8587455468238301104.wav,data/raw/scaled_stimuli_hashed/7_statement_back.wav,statement,back,7,non-conventional,non-request,-7.424564346931476,-0.08822149697680005
255,136. Sound -8653516187001341986,1.0177,1.7176,-8653516187001341986,data/raw/scaled_stimuli_hashed/-8653516187001341986.wav,data/raw/scaled_stimuli_hashed/3_request_soup.wav,request,soup,3,non-conventional,request,-48.22508884602698,-0.8835145937973495
256,137. Sound -8661719471060913109,0.8592,1.5545,-8661719471060913109,data/raw/scaled_stimuli_hashed/-8661719471060913109.wav,data/raw/scaled_stimuli_hashed/5_request_Spanish.wav,request,Spanish,5,conventional,request,-53.20895500201394,-0.320136427876089
257,138. Sound -8669815519715051685,0.8185,1.6127,-8669815519715051685,data/raw/scaled_stimuli_hashed/-8669815519715051685.wav,data/raw/scaled_stimuli_hashed/22_request_phone.wav,request,phone,22,non-conventional,request,8.17682586950609,-0.3939494301400804
259,140. Sound -8692528951120097475,0.7762,1.2621,-8692528951120097475,data/raw/scaled_stimuli_hashed/-8692528951120097475.wav,data/raw/scaled_stimuli_hashed/25_request_laptop.wav,request,laptop,25,non-conventional,request,1.3608765093757,-0.1858930506902089
260,141. Sound -8705203216420824145,0.7157,1.206,-8705203216420824145,data/raw/scaled_stimuli_hashed/-8705203216420824145.wav,data/raw/scaled_stimuli_hashed/5_question_piano.wav,question,piano,5,conventional,non-request,46.60339728872316,-0.500374427526741
261,142. Sound -8740205221940214207,0.5515,1.1014,-8740205221940214207,data/raw/scaled_stimuli_hashed/-8740205221940214207.wav,data/raw/scaled_stimuli_hashed/25_request_piano.wav,request,piano,25,conventional,request,-23.887505936569767,-0.22594429504395933
262,143. Sound -8743426815808791249,0.7256,1.4282,-8743426815808791249,data/raw/scaled_stimuli_hashed/-8743426815808791249.wav,data/raw/scaled_stimuli_hashed/6_question_window.wav,question,window,6,conventional,non-request,-28.778226023718673,0.2299604238971567
263,144. Sound -8746048431978402402,0.8359,1.6109,-8746048431978402402,data/raw/scaled_stimuli_hashed/-8746048431978402402.wav,data/raw/scaled_stimuli_hashed/6_request_Spanish.wav,request,Spanish,6,conventional,request,-29.615514322098818,-0.5048910592579954
264,145. Sound -8759227825080720346,1.2667,1.8875,-8759227825080720346,data/raw/scaled_stimuli_hashed/-8759227825080720346.wav,data/raw/scaled_stimuli_hashed/5_statement_car.wav,statement,car,5,non-conventional,non-request,36.20408448913504,0.31733347958682173
265,146. Sound -8782687747449379169,1.0855,2.0986,-8782687747449379169,data/raw/scaled_stimuli_hashed/-8782687747449379169.wav,data/raw/scaled_stimuli_hashed/5_question_Spanish.wav,question,Spanish,5,conventional,non-request,80.45858558185016,0.6848652769893661
267,148. Sound -8813524718458363992,1.614,2.053,-8813524718458363992,data/raw/scaled_stimuli_hashed/-8813524718458363992.wav,data/raw/scaled_stimuli_hashed/7_statement_office.wav,statement,office,7,non-conventional,non-request,-13.813274267510025,-0.08982039625465113
268,149. Sound -8870126123215728262,0.909,1.7576,-8870126123215728262,data/raw/scaled_stimuli_hashed/-8870126123215728262.wav,data/raw/scaled_stimuli_hashed/22_statement_laptop.wav,statement,laptop,22,non-conventional,non-request,9.75319490012437,-0.35452887638372677
269,150. Sound -9047716096265802270,1.183,1.792,-9047716096265802270,data/raw/scaled_stimuli_hashed/-9047716096265802270.wav,data/raw/scaled_stimuli_hashed/21_request_laptop.wav,request,laptop,21,non-conventional,request,31.539044057396595,-0.12084171518811429
270,151. Sound -9061689739307405256,0.7372,1.4557,-9061689739307405256,data/raw/scaled_stimuli_hashed/-9061689739307405256.wav,data/raw/scaled_stimuli_hashed/24_statement_laptop.wav,statement,laptop,24,non-conventional,non-request,-5.606723235356327,-0.12891329483498026
271,152. Sound -9123971374336666114,0.7428,1.1873,-9123971374336666114,data/raw/scaled_stimuli_hashed/-9123971374336666114.wav,data/raw/scaled_stimuli_hashed/7_request_Spanish.wav,request,Spanish,7,conventional,request,1.5142684581884964,-0.062369579467084296
272,153. Sound -9151842239824580311,0.8216,1.3903,-9151842239824580311,data/raw/scaled_stimuli_hashed/-9151842239824580311.wav,data/raw/scaled_stimuli_hashed/21_request_Spanish.wav,request,Spanish,21,conventional,request,3.724465070642566,0.25070814451240797
273,154. Sound 1006391116744306155,0.9525,1.8224,1006391116744306155,data/raw/scaled_stimuli_hashed/1006391116744306155.wav,data/raw/scaled_stimuli_hashed/9_question_temp.wav,question,temp,9,conventional,non-request,-11.53136607146638,-0.08851335373623807
274,155. Sound 1065969960083257716,0.8591,1.6397,1065969960083257716,data/raw/scaled_stimuli_hashed/1065969960083257716.wav,data/raw/scaled_stimuli_hashed/11_request_piano.wav,request,piano,11,conventional,request,28.117334634703695,1.451082503624946
275,156. Sound 1136778628037875625,0.7953,1.5211,1136778628037875625,data/raw/scaled_stimuli_hashed/1136778628037875625.wav,data/raw/scaled_stimuli_hashed/6_request_office.wav,request,office,6,non-conventional,request,-18.730102914262147,-0.6170054266542851
276,157. Sound 1171179695817525925,0.8118,1.3753,1171179695817525925,data/raw/scaled_stimuli_hashed/1171179695817525925.wav,data/raw/scaled_stimuli_hashed/9_request_car.wav,request,car,9,non-conventional,request,12.953849757182567,-1.5741071084891227
